,job_id,skills
1098,J258,Warehouse Operations
1099,J258,Inventory Management
1100,J258,Retail Operations
1101,J259,Java
1102,J259,C++
1103,J259,Golang
1104,J259,Scala
1105,J260,Product Management
1106,J261,JavaScript
1107,J261,Python
1108,J261,Angular
1109,J261,Node.js
1110,J261,React.js
1111,J262,Python
1112,J262,AWS
1113,J262,Maven
1114,J262,Docker
1115,J262,Spring Boot
1116,J263,AWS
1117,J263,Git
1118,J263,Docker
1119,J263,Spring Boot
1120,J263,Maven
1121,J264,C
1122,J264,Networking
1123,J265,Python
1124,J265,AWS
1125,J265,SQL
1126,J266,Distributed Systems
1127,J266,Program Management
1128,J266,Project Management
1129,J267,Android
1130,J268,Risk Assessment
1131,J268,Risk Management
1132,J268,Risk Advisory
1133,J269,Asset Management
1134,J269,PowerShell
1135,J270,Category Management
1136,J270,Catalog Management
1137,J271,JavaScript
1138,J271,Microservices
1139,J271,Spring Boot
1140,J271,AWS
1141,J271,Python
1142,J272,Product Management
1143,J273,Product Management
1144,J274,React.js
1145,J274,JavaScript
1146,J274,HTML
1147,J274,CSS
1148,J274,TypeScript
1149,J275,Angular
1150,J275,Node.js
1151,J275,MongoDB
1152,J275,Express.js
1153,J275,SQL Server
1154,J276,Python
1155,J276,SQL
1156,J276,Tableau
1157,J277,Sales
1158,J277,Business Development
1159,J277,Customer Relationship
1160,J277,Corporate Sales
1161,J277,Direct Sales
1162,J278,Product Management
1163,J278,Project Management
1164,J278,Google Analytics
1165,J278,Agile
1166,J279,Automation Testing
1167,J279,Manual Testing
1168,J280,Golang
1169,J280,Python
1170,J281,Java
1171,J281,Data Structures
1172,J281,Python
1173,J281,Golang
1174,J281,Algorithms
1175,J282,CSS
1176,J282,HTML
1177,J282,JavaScript
1178,J282,React.js
1179,J283,Business Development
1180,J283,Direct Sales
1181,J283,Sales
1182,J283,Telecalling
1183,J284,Hyperion Planning
1184,J285,Automation Testing
1185,J285,React.js
1186,J285,SDET
1187,J286,Manual Testing
