,company_name,estab_year,employees_count,emp_overall_rating,emp_wl_bal_rating,emp_salary_n_benefits_rating,emp_comp_culture_rating,emp_career_growth_rating,emp_diversity_n_inclusion_rating,emp_likely_to_recomm_rating
93,Viacom18,2007,1000+,3.8,3.6,3.3,3.7,3.5,3.7,3.3
94,Altimetrik,2012,1000+,4.2,4.1,4.1,4.2,4.2,4.2,4.5
95,Hi-Tech Robotic Systemz,2014,500 - 1000,3.8,4.0,3.6,3.8,3.8,3.8,4.3
96,Infosys,1981,1000+,4.0,3.7,3.0,4.1,3.8,4.1,4.0
97,Nucleus Software,1986,1000+,3.7,3.2,3.5,3.9,3.5,3.7,3.6
98,Delta Air Lines,1928,1000+,4.3,3.8,4.1,4.2,4.2,4.3,4.3
99,DevRev,2020,10 - 50,5.0,4.4,4.8,5.0,5.0,4.7,5.0
100,Integral Technologies,2022,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
101,Jodo,2020,10 - 50,4.1,3.9,4.0,4.3,4.0,4.7,4.0
102,Newton School,2019,200 - 500,4.1,4.1,3.9,4.0,4.0,4.0,4.3
103,Niro,2021,10 - 50,4.9,4.7,4.7,4.9,4.8,4.7,5.0
104,Uber,2009,1000+,4.4,4.2,4.3,4.3,4.1,4.4,4.5
105,Capri Global Capital,1997,500 - 1000,3.7,2.9,3.4,3.0,3.3,2.9,3.1
106,CloudifyOps,2016,10 - 50,4.6,4.6,4.7,4.7,4.9,4.7,5.0
107,DK Business Patron,2006,200 - 500,3.9,3.9,3.8,3.6,3.6,3.9,4.3
108,Flatworld Solutions,2002,1000+,3.9,3.8,3.2,3.6,3.6,3.5,3.8
109,InMobi,2007,1000+,4.1,3.8,3.9,4.3,4.0,4.2,4.3
110,Paperflite,2016,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
111,Webs Optimization Software Solution,2013,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
112,Chargeup,2019,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
113,Colmore,2017,50 - 200,3.7,3.2,3.4,3.3,3.8,3.9,3.1
114,Delta,2017,0 - 10,4.3,3.8,4.1,4.2,4.2,4.3,4.3
115,Mahindra Insurance Brokers,2004,500 - 1000,4.0,3.8,3.7,4.0,3.9,4.0,4.0
116,Owens & Minor,1882,1000+,4.0,3.8,3.7,4.0,3.9,4.0,4.0
117,Sagarsoft,1996,200 - 500,4.2,4.1,3.9,3.9,3.9,3.9,4.3
118,Y Media Labs,2009,200 - 500,4.0,3.7,3.9,3.9,3.9,4.1,3.8
119,Level AI,2018,10 - 50,4.3,3.9,4.3,4.4,4.6,4.0,4.5
